episode,total_reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
1,246.443253319,5.0399999999999805,0.0,0.0,60.552881285,0.0,0.0,0.0,0.0,0.0,1.52389362057,0.0,0.0,0.0
2,95.2720635693,1.9200000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.8118130741,0.0,0.0,0.0
3,95.2771685546,1.9200000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0362400447,0.0,0.0,0.0
4,98.256552626,1.9800000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.7219806063,0.0,0.0,0.0
5,242.306279239,5.0399999999999805,0.0,0.0,121.235574051,0.0,0.0,0.0,0.0,0.0,28.1701508416,0.0,0.0,0.0
6,239.897334834,5.0399999999999805,0.0,0.0,139.911707881,0.0,0.0,0.0,0.0,0.0,28.170852887,0.0,0.0,0.0
7,239.724944373,5.0399999999999805,0.0,0.0,141.219395505,0.0,0.0,0.0,0.0,0.0,28.1702852958,0.0,0.0,0.0
8,239.711658289,5.0399999999999805,0.0,0.0,141.299638476,0.0,0.0,0.0,0.0,0.0,28.1822399087,0.0,0.0,0.0
9,239.712360952,5.0399999999999805,0.0,0.0,141.294807222,0.0,0.0,0.0,0.0,0.0,28.1788238038,0.0,0.0,0.0
10,239.708027327,5.0399999999999805,0.0,0.0,141.325780959,0.0,0.0,0.0,0.0,0.0,28.1661102777,0.0,0.0,0.0
11,239.715159441,5.0399999999999805,0.0,0.0,141.277096839,0.0,0.0,0.0,0.0,0.0,28.1830119147,0.0,0.0,0.0
12,239.712568581,5.0399999999999805,0.0,0.0,141.298864788,0.0,0.0,0.0,0.0,0.0,28.1733497374,0.0,0.0,0.0
13,239.706463095,5.0399999999999805,0.0,0.0,141.346703113,0.0,0.0,0.0,0.0,0.0,28.1753704519,0.0,0.0,0.0
14,239.712454648,5.0399999999999805,0.0,0.0,141.283930975,0.0,0.0,0.0,0.0,0.0,28.1781881189,0.0,0.0,0.0
15,239.707569978,5.0399999999999805,0.0,0.0,141.362206667,0.0,0.0,0.0,0.0,0.0,28.1960430001,0.0,0.0,0.0
16,239.712904852,5.0399999999999805,0.0,0.0,141.30542218,0.0,0.0,0.0,0.0,0.0,28.1862823716,0.0,0.0,0.0
17,239.712177001,5.0399999999999805,0.0,0.0,141.297754304,0.0,0.0,0.0,0.0,0.0,28.1684577809,0.0,0.0,0.0
18,239.710992848,5.0399999999999805,0.0,0.0,141.325441948,0.0,0.0,0.0,0.0,0.0,28.1767110032,0.0,0.0,0.0
19,239.719511123,5.0399999999999805,0.0,0.0,141.262388901,0.0,0.0,0.0,0.0,0.0,28.1952663821,0.0,0.0,0.0
20,239.719102756,5.0399999999999805,0.0,0.0,141.261019814,0.0,0.0,0.0,0.0,0.0,28.1789653268,0.0,0.0,0.0
21,239.741639146,5.0399999999999805,0.0,0.0,141.089949414,0.0,0.0,0.0,0.0,0.0,28.1646716712,0.0,0.0,0.0
22,239.707817264,5.0399999999999805,0.0,0.0,141.34347077,0.0,0.0,0.0,0.0,0.0,28.1759354761,0.0,0.0,0.0
23,239.706522239,5.0399999999999805,0.0,0.0,141.359296436,0.0,0.0,0.0,0.0,0.0,28.1858973859,0.0,0.0,0.0
24,239.707469635,5.0399999999999805,0.0,0.0,141.337675161,0.0,0.0,0.0,0.0,0.0,28.1643225252,0.0,0.0,0.0
